row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,target_name,description_of_target
TRINITY_DN6830_c0_g1,19.1969905,-7.873163868,3.046939407,-2.583958135,0.009767365,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN2592_c1_g1,18.21094523,-7.79624559,3.544275961,-2.199672282,0.027830155,NA,Hsp70 protein,Heat shock protein
TRINITY_DN15767_c0_g1,17.92675209,-7.773559797,3.087778117,-2.517525386,0.011818245,NA,Hsp90 protein,Heat shock protein
TRINITY_DN28403_c1_g1,17.6906325,-7.754413893,3.547784358,-2.185706094,0.028837115,NA,Hsp70 protein,Heat shock protein
TRINITY_DN946_c6_g1,17.6097571,-7.747846373,3.076906696,-2.518063477,0.011800205,NA,Hsp90 protein,Heat shock protein
TRINITY_DN122091_c0_g1,17.38027852,-7.729805802,3.542852633,-2.181802802,0.02912409,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN492544_c0_g1,17.03048168,-7.700592903,3.148985687,-2.445420103,0.01446835,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN10353_c0_g1,16.91016342,-7.689300503,3.553539797,-2.163842518,0.030476438,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN172381_c0_g1,16.65000706,-7.666926099,3.555602516,-2.156294486,0.031060678,NA,Hsp70 protein,Heat shock protein
TRINITY_DN26986_c0_g1,16.51229304,-7.655036706,3.074270688,-2.490033404,0.012773109,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN19398_c0_g1,16.3898507,-7.64419928,3.557743289,-2.148609009,0.031665407,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN124400_c0_g1,16.24563006,-7.632465954,3.09743121,-2.464127671,0.013734718,NA,Hsp90 protein,Heat shock protein
TRINITY_DN498613_c0_g1,15.86953798,-7.597642654,3.562274877,-2.132806399,0.032940611,NA,Mid2 like cell wall stress sensor,Stress
TRINITY_DN1346004_c0_g1,15.60938162,-7.573788584,3.564674295,-2.124678991,0.033613408,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN16579_c0_g2,15.49358029,-7.564136509,3.120626893,-2.423915697,0.015354169,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN13209_c0_g1,15.34922526,-7.549533487,3.567169017,-2.116393546,0.03431135,NA,Hsp90 protein,Heat shock protein
TRINITY_DN53805_c0_g1,15.34922526,-7.549533487,3.567169017,-2.116393546,0.03431135,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN32949_c0_g1,15.06290805,-7.5234216,3.562880173,-2.111612301,0.034719717,NA,Hsp70 protein,Heat shock protein
TRINITY_DN45156_c0_g2,15.06290805,-7.5234216,3.562880173,-2.111612301,0.034719717,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN59232_c0_g1,14.82891254,-7.499764643,3.572464997,-2.099324877,0.035788272,NA,Hsp70 protein,Heat shock protein
TRINITY_DN877364_c0_g1,14.04844346,-7.421736569,3.581262634,-2.072379863,0.03823003,NA,Hsp70 protein,Heat shock protein
TRINITY_DN31404_c0_g1,14.02440669,-7.419328933,3.117046498,-2.380243265,0.017301212,NA,Hsp90 protein,Heat shock protein
TRINITY_DN16689_c0_g2,13.90422282,-7.407984622,3.575862509,-2.071663719,0.038296813,NA,Hsp90 protein,Heat shock protein
TRINITY_DN58978_c0_g1,13.7882871,-7.39476034,3.584449172,-2.063011633,0.039111523,NA,Hsp70 protein,Heat shock protein
TRINITY_DN558662_c0_g1,13.52813074,-7.367270142,3.58777515,-2.053436973,0.040030217,NA,Hsp70 protein,Heat shock protein
TRINITY_DN81460_c0_g1,36.36347094,-7.360326152,3.291361675,-2.236255653,0.02533503,0.202680236,Heat shock protein 9/12,Heat shock protein
TRINITY_DN2999_c0_g1,13.3619974,-7.349653313,3.100465053,-2.370500291,0.01776403,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1399597_c0_g1,13.26797438,-7.339245993,3.591248907,-2.043647261,0.040988407,NA,Hsp70 protein,Heat shock protein
TRINITY_DN23959_c0_g1,13.26797438,-7.339245993,3.591248907,-2.043647261,0.040988407,NA,Hsp70 protein,Heat shock protein
TRINITY_DN16109_c0_g2,13.1630622,-7.328223572,3.086335837,-2.374408995,0.017577069,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN24308_c1_g1,13.10622358,-7.322044049,3.084914704,-2.373499675,0.017620409,NA,Hsp70 protein,Heat shock protein
TRINITY_DN19441_c0_g1,13.00781802,-7.310666733,3.594879441,-2.033633353,0.041988576,NA,Hsp70 protein,Heat shock protein
TRINITY_DN65662_c0_g2,12.97727463,-7.308485624,3.588169314,-2.036828529,0.041667228,NA,Hsp70 protein,Heat shock protein
TRINITY_DN27148_c0_g1,12.7520442,-7.282072704,3.138583637,-2.320177999,0.02033125,NA,Heat shock protein 9/12,Heat shock protein
TRINITY_DN3363_c1_g2,12.4875053,-7.251751739,3.602650542,-2.012893467,0.044125838,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN4770_c0_g1,33.64809569,-7.245471593,2.800857071,-2.586876592,0.009685027,NA,Hsp70 protein,Heat shock protein
TRINITY_DN626_c0_g1,12.27329841,-7.227740342,3.107403983,-2.32597383,0.020019947,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN299363_c0_g1,12.22734894,-7.221366851,3.606813042,-2.002146151,0.045269015,NA,Stress responsive A/B Barrel Domain,Stress
TRINITY_DN1345002_c0_g1,12.142091,-7.211187653,3.222611227,-2.237684643,0.025241627,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1092209_c0_g1,11.70703622,-7.158607521,3.615753982,-1.979838108,0.047721723,NA,Stress responsive A/B Barrel Domain,Stress
TRINITY_DN6523_c2_g1,11.70703622,-7.158607521,3.615753982,-1.979838108,0.047721723,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1211326_c0_g1,11.44687986,-7.126173368,3.620560567,-1.96825139,0.04903912,NA,Hsp90 protein,Heat shock protein
TRINITY_DN42452_c0_g1,11.44687986,-7.126173368,3.620560567,-1.96825139,0.04903912,NA,Hsp70 protein,Heat shock protein
TRINITY_DN236523_c0_g1,11.38353461,-7.119662824,3.310177794,-2.150840005,0.03148883,NA,Heat shock protein 9/12,Heat shock protein
TRINITY_DN17675_c0_g1,11.3551153,-7.115916174,3.615177762,-1.968344751,0.049028384,NA,Hsp70 protein,Heat shock protein
TRINITY_DN93428_c0_g1,11.3551153,-7.115916174,3.615177762,-1.968344751,0.049028384,NA,Hsp70 protein,Heat shock protein
TRINITY_DN8502_c0_g2,11.2523272,-7.101814216,3.130089072,-2.268885662,0.02327528,NA,Hsp90 protein,Heat shock protein
TRINITY_DN23371_c0_g1,11.22829043,-7.099135153,3.121011873,-2.274626128,0.022928367,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN123998_c0_g1,11.12337825,-7.086181154,3.619747842,-1.957644969,0.050271687,NA,13-beta-glucan synthase component,13-beta-glucan synthase
TRINITY_DN24656_c0_g1,11.12337825,-7.086181154,3.619747842,-1.957644969,0.050271687,NA,Hsp70 protein,Heat shock protein
TRINITY_DN6617_c0_g1,10.92656714,-7.059032442,3.630926191,-1.944140991,0.051878451,NA,Hsp90 protein,Heat shock protein
TRINITY_DN221_c0_g2,855.3545927,-7.055955579,2.904331508,-2.429459433,0.015121357,0.126871874,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN15549_c0_g1,10.65990416,-7.0248065,3.629538088,-1.935454686,0.052934524,NA,Hsp70 protein,Heat shock protein
TRINITY_DN39775_c0_g1,10.65990416,-7.0248065,3.629538088,-1.935454686,0.052934524,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN37774_c1_g2,10.66641078,-7.024252863,3.636521922,-1.931585458,0.053410692,NA,Hsp70 protein,Heat shock protein
TRINITY_DN13580_c0_g1,10.40625441,-6.988614206,3.642420386,-1.918673153,0.055025711,NA,Hsp90 protein,Heat shock protein
TRINITY_DN784030_c0_g1,10.40625441,-6.988614206,3.642420386,-1.918673153,0.055025711,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN184502_c0_g1,10.25326869,-6.968859949,3.27604526,-2.127217238,0.033402038,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN38674_c0_g1,10.14609805,-6.952072957,3.648644748,-1.905384995,0.056730044,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN69849_c0_g1,10.14609805,-6.952072957,3.648644748,-1.905384995,0.056730044,NA,Hsp90 protein,Heat shock protein
TRINITY_DN84137_c0_g1,10.14609805,-6.952072957,3.648644748,-1.905384995,0.056730044,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN23380_c2_g1,10.11767874,-6.947909601,3.340457272,-2.079927697,0.037532165,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1223037_c0_g1,9.964693018,-6.927551664,3.64607466,-1.900002691,0.057432767,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN9948_c0_g1,9.94716286,-6.923576178,3.202685737,-2.161803169,0.030633351,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1138519_c0_g1,9.885941694,-6.914582212,3.655220556,-1.891700407,0.058530909,NA,Hsp90 protein,Heat shock protein
TRINITY_DN47579_c2_g1,9.885941694,-6.914582212,3.655220556,-1.891700407,0.058530909,NA,Hsp90 protein,Heat shock protein
TRINITY_DN3020_c0_g1,51.41562986,-6.893425333,3.17252367,-2.172852294,0.029791436,0.22278813,Hsp90 protein,Heat shock protein
TRINITY_DN17808_c0_g1,55.15637753,-6.885820002,3.162684452,-2.177207403,0.029465096,0.22278813,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN61989_c0_g1,9.529638238,-6.863330386,3.345935945,-2.051243807,0.04024321,NA,Hsp90 protein,Heat shock protein
TRINITY_DN37144_c0_g2,9.464034532,-6.852649243,3.171224488,-2.160884311,0.030704277,NA,Hsp70 protein,Heat shock protein
TRINITY_DN17071_c0_g1,9.370011513,-6.837431552,3.201504504,-2.135693248,0.032704425,NA,Hsp70 protein,Heat shock protein
TRINITY_DN22865_c3_g1,9.118620231,-6.799238706,3.19228442,-2.129897531,0.033180074,NA,Hsp70 protein,Heat shock protein
TRINITY_DN16075_c0_g1,8.736021538,-6.736604898,3.201912592,-2.103931542,0.035384419,NA,Hsp70 protein,Heat shock protein
TRINITY_DN13238_c0_g1,23.36640768,-6.716942528,3.315675686,-2.025814092,0.042783839,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN38927_c0_g1,8.399372317,-6.681257957,3.323052598,-2.010578455,0.044370002,NA,Hsp90 protein,Heat shock protein
TRINITY_DN2999_c0_g2,7.922750604,-6.595124766,3.282152614,-2.009390038,0.044495786,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN65565_c0_g1,7.922750604,-6.595124766,3.282152614,-2.009390038,0.044495786,NA,Hsp70 protein,Heat shock protein
TRINITY_DN180311_c0_g1,7.907478909,-6.594266776,3.392523411,-1.94376456,0.051923849,NA,Hsp70 protein,Heat shock protein
TRINITY_DN9990_c0_g1,7.89871383,-6.591461328,3.229257506,-2.041169314,0.041234001,NA,Hsp70 protein,Heat shock protein
TRINITY_DN28008_c0_g1,22.0863515,-6.581447036,3.317967365,-1.98357799,0.047302905,NA,Heat induced stress protein YflT domain,Stress
TRINITY_DN4330_c2_g1,7.776271498,-6.567987924,3.404542396,-1.929183767,0.053708053,NA,Hsp70 protein,Heat shock protein
TRINITY_DN26273_c0_g1,7.760999803,-6.567145452,3.295741799,-1.992615275,0.046303591,NA,Universal stress protein family,Stress
TRINITY_DN50525_c0_g2,7.63417493,-6.541655822,3.281608444,-1.993429726,0.046214412,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN11851_c1_g1,7.610138157,-6.537886518,3.241635334,-2.01684824,0.043711353,NA,Hsp70 protein,Heat shock protein
TRINITY_DN7923_c0_g1,20.98888743,-6.511046489,3.021631525,-2.154811543,0.031176585,NA,Hsp70 protein,Heat shock protein
TRINITY_DN47704_c1_g2,7.345599257,-6.48613671,3.284560552,-1.974735009,0.048298228,NA,Hsp90 protein,Heat shock protein
TRINITY_DN1446165_c0_g1,7.094207975,-6.437487936,3.309244944,-1.945304154,0.051738382,NA,Hsp70 protein,Heat shock protein
TRINITY_DN801383_c0_g1,7.057023583,-6.428405247,3.290637656,-1.953543939,0.050755176,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN88160_c0_g1,6.919309555,-6.401282426,3.298633246,-1.940586282,0.052308479,NA,Hsp70 protein,Heat shock protein
TRINITY_DN6305_c6_g1,6.886507702,-6.393688397,3.280209926,-1.949170492,0.051275068,NA,Hsp70 protein,Heat shock protein
TRINITY_DN30437_c0_g2,6.825286536,-6.380151945,3.30911348,-1.928054744,0.053848317,NA,Hsp70 protein,Heat shock protein
TRINITY_DN395806_c0_g1,6.744411135,-6.364126059,3.296256094,-1.930713475,0.053518496,NA,Hsp70 protein,Heat shock protein
TRINITY_DN593_c0_g2,90.7485589,-6.341938763,2.442910696,-2.596058371,0.009430004,0.097685577,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN9917_c4_g1,6.536710862,-6.317933835,3.31784549,-1.904227865,0.056880514,NA,Hsp70 protein,Heat shock protein
TRINITY_DN112586_c0_g1,15.64153958,-6.083061281,2.984905157,-2.037941228,0.041555811,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN26649_c0_g1,166.1415633,-6.031810915,2.851591225,-2.11524389,0.034409166,0.246599023,Heat shock protein 9/12,Heat shock protein
TRINITY_DN841_c2_g1,14.09918427,-5.978191464,2.896709414,-2.06378708,0.039037909,NA,Hsp70 protein,Heat shock protein
TRINITY_DN27960_c0_g1,114.7735982,-5.92239275,3.14048556,-1.885820723,0.059319117,0.385014649,Stress-induced bacterial acidophilic repeat motif,Stress
TRINITY_DN1318473_c0_g1,11.05818335,-5.621507362,2.96573262,-1.895486911,0.058027924,NA,Hsp70 protein,Heat shock protein
TRINITY_DN2210_c0_g1,38.60664632,-5.432816224,2.441005545,-2.225646818,0.026037848,0.203568627,Hsp70 protein,Heat shock protein
TRINITY_DN14273_c0_g1,47.02288622,-5.427182101,2.633105462,-2.061133585,0.039290297,0.275833925,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN38173_c0_g2,22.4468024,-5.00677346,2.606553009,-1.920840836,0.054751777,NA,Hsp70 protein,Heat shock protein
TRINITY_DN21868_c0_g1,21.09623177,-4.503203472,2.391883869,-1.882701552,0.059740825,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN3206_c0_g1,51.46093204,-4.315700772,2.222024863,-1.942237841,0.052108314,0.358505201,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN626_c2_g1,332.5820884,4.041887954,2.139696146,1.889000904,0.058891708,0.385014649,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN7376_c0_g1,74.34133983,4.952630085,2.576941081,1.921902725,0.054617999,0.368403758,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN11762_c1_g1,30.42663405,4.979442176,2.589115695,1.923221193,0.054452277,NA,Hsp90 protein,Heat shock protein
TRINITY_DN112275_c0_g1,31.56943358,4.995464371,2.369200206,2.108502421,0.034987554,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN11951_c0_g1,27.77672607,5.12598658,2.695583898,1.901623831,0.05722035,NA,Hsp70 protein,Heat shock protein
TRINITY_DN15751_c0_g1,6.664906977,6.205212332,3.29192615,1.884979204,0.059432646,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN29121_c0_g1,6.664906977,6.205212332,3.29192615,1.884979204,0.059432646,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1191980_c0_g1,6.753044897,6.224606205,3.304538209,1.883653876,0.059611809,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN63351_c0_g2,58.76225988,6.274202424,2.911658434,2.154855237,0.031173164,0.228161032,Hsp70 protein,Heat shock protein
TRINITY_DN106330_c0_g1,7.063929126,6.288558387,3.293497926,1.909385865,0.056212333,NA,Hsp70 protein,Heat shock protein
TRINITY_DN705856_c0_g1,7.343833043,6.345123783,3.253650088,1.950155552,0.051157582,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN79949_c0_g2,7.473422195,6.370619593,3.252310339,1.958798186,0.050136426,NA,Hsp70 protein,Heat shock protein
TRINITY_DN912320_c0_g1,21.24970682,6.373225194,3.324088069,1.917285301,0.055201696,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN80224_c0_g1,7.520108885,6.380052256,3.310824485,1.927028233,0.053976112,NA,Hsp70 protein,Heat shock protein
TRINITY_DN729273_c0_g1,7.680678347,6.409520255,3.246489179,1.974292814,0.048348458,NA,Trehalose utilisation,Trehalose
TRINITY_DN40231_c0_g1,8.178309337,6.501032826,3.271930926,1.986910168,0.046932353,NA,Hsp70 protein,Heat shock protein
TRINITY_DN8287_c3_g1,8.199034952,6.50463967,3.259566582,1.995553552,0.04598254,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN793628_c0_g1,8.240486182,6.511821955,3.241007781,2.009196643,0.044516284,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN13634_c0_g1,8.318153183,6.52465938,3.213468664,2.030410146,0.042314866,NA,Hsp70 protein,Heat shock protein
TRINITY_DN20368_c0_g1,8.452977794,6.548552484,3.233888154,2.024978036,0.04286962,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN886150_c0_g1,8.940137864,6.629263865,3.201806957,2.070475814,0.038407809,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN981588_c0_g1,9.028275785,6.643654809,3.246193607,2.046598452,0.040697527,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN11388_c0_g1,26.03114381,6.73410199,2.817300028,2.39026796,0.016836084,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN567360_c0_g1,9.670769857,6.741667412,3.223653289,2.091312808,0.036500032,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN96639_c0_g1,10.11145946,6.80706225,3.20796807,2.121923318,0.033844178,NA,Hsp70 protein,Heat shock protein
TRINITY_DN56646_c0_g2,10.4430693,6.853094222,3.139159512,2.183098436,0.029028562,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN103194_c0_g2,10.62458061,6.878436828,3.636470911,1.891514327,0.05855572,NA,13-beta-glucan synthase component,13-beta-glucan synthase
TRINITY_DN1336029_c0_g1,10.62458061,6.878436828,3.636470911,1.891514327,0.05855572,NA,RNA helicase (UPF2 interacting domain),RNA helicase
TRINITY_DN68663_c1_g1,10.65032546,6.881133937,3.148273718,2.185684777,0.028838675,NA,Hsp70 protein,Heat shock protein
TRINITY_DN914897_c0_g1,10.64530622,6.881359955,3.329167525,2.066991193,0.038734984,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN8580_c0_g2,10.72799246,6.891369621,3.639907807,1.893281365,0.058320462,NA,Hsp70 protein,Heat shock protein
TRINITY_DN73955_c0_g1,10.96120969,6.922405751,3.634953535,1.904400066,0.056858101,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN162830_c0_g2,11.19442691,6.952788316,3.630222792,1.915251133,0.055460484,NA,Hsp90 protein,Heat shock protein
TRINITY_DN182419_c0_g1,11.26205544,6.962475524,3.623175829,1.921649915,0.054649823,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN131728_c0_g1,11.51599828,6.99474443,3.26098596,2.144978395,0.031954574,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1162041_c0_g1,11.66086137,7.011699,3.621378282,1.936196237,0.052843671,NA,Heat shock protein 9/12,Heat shock protein
TRINITY_DN936997_c0_g1,11.89953028,7.041886722,3.611426314,1.949890738,0.051189143,NA,Hsp70 protein,Heat shock protein
TRINITY_DN391824_c0_g1,11.91502043,7.043695967,3.137066607,2.245312851,0.024748056,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1380989_c0_g1,12.04962882,7.05920706,3.122726817,2.260590655,0.023784617,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1204136_c0_g1,12.11202189,7.067414544,3.607811021,1.958920382,0.050122112,NA,Hsp90 protein,Heat shock protein
TRINITY_DN818246_c0_g1,12.11202189,7.067414544,3.607811021,1.958920382,0.050122112,NA,Hsp70 protein,Heat shock protein
TRINITY_DN33856_c0_g1,12.12729582,7.068298152,3.613277177,1.956201478,0.050441425,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN94523_c0_g1,12.17921797,7.074753284,3.107226906,2.276870502,0.02279396,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN15382_c0_g1,12.96198834,7.165234615,3.594657352,1.993301145,0.046228481,NA,Hsp70 protein,Heat shock protein
TRINITY_DN20121_c0_g3,13.06561642,7.176792423,3.173965986,2.261143458,0.023750375,NA,Hsp70 protein,Heat shock protein
TRINITY_DN131890_c0_g2,68.51773136,7.177157238,2.740000156,2.619400303,0.008808452,0.094690855,Hsp70 protein,Heat shock protein
TRINITY_DN17179_c3_g1,13.18997011,7.190349116,3.119486131,2.30497871,0.021167766,NA,Hsp70 protein,Heat shock protein
TRINITY_DN14628_c3_g1,13.34006865,7.205870567,3.136278681,2.297586184,0.021585353,NA,Hsp70 protein,Heat shock protein
TRINITY_DN1337343_c0_g1,13.81195479,7.256840617,3.58330341,2.025181735,0.042848706,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN520918_c0_g1,13.97230803,7.272601067,3.290462044,2.210206643,0.027090824,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN1803_c5_g1,14.06044595,7.28174256,3.13700515,2.321240232,0.020273882,NA,Hsp70 protein,Heat shock protein
TRINITY_DN43163_c0_g1,14.1021134,7.286759241,3.094721046,2.35457708,0.018543797,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN6475_c4_g1,14.22625087,7.298655568,3.58404972,2.036426986,0.041707498,NA,Hsp70 protein,Heat shock protein
TRINITY_DN121998_c0_g1,14.4594681,7.322120389,3.581389435,2.044491536,0.040905013,NA,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN67061_c0_g2,79.5103538,7.397899737,3.177479408,2.32822901,0.019899947,0.162990038,Hsp20/alpha crystallin family,Heat shock protein
TRINITY_DN43977_c1_g1,15.7243793,7.443879528,3.562805256,2.089331017,0.036677936,NA,Hsp70 protein,Heat shock protein
TRINITY_DN185946_c0_g1,15.96261576,7.465266593,3.0420004,2.454064961,0.014125146,NA,Hsp70 protein,Heat shock protein
TRINITY_DN775023_c0_g1,16.57434575,7.519810572,3.555439895,2.115015524,0.034428624,NA,Hsp90 protein,Heat shock protein
